store_title,store_addr,gu,dong
파리바게뜨 망우금란,서울 중랑구 망우로 467,중랑구,망우동
파리바게뜨 신내제일,서울 중랑구 신내로14길 18,중랑구,신내동
파리바게뜨 신내중앙,서울특별시 중랑구 신내동 666 1층,중랑구,신내동
파리바게뜨 청량리,서울 동대문구 왕산로 225,동대문구,청량리동
파리바게뜨 답십리역,서울시 성동구 용답동 1-2,성동구,용답동
파리바게뜨 전농동아,서울 동대문구 서울시립대로 31,동대문구,전농동
파리바게뜨 묵동삼거리,서울 중랑구 공릉로 2길 3,중랑구,묵동
파리바게뜨 대공원,서울시 광진구 구의동 53-10,광진구,구의동
파리바게뜨 세종대,서울특별시 광진구 군자동 98번지 세종대학교 내학생회관1층,광진구,군자동
파리바게뜨 석계두산,서울시 성북구 석관동 133-66,성북구,석관동
파리바게뜨 석관,서울특별시 성북구 석관동 350-1,성북구,석관동
파리바게뜨 동대문구청,서울특별시 동대문구 고산자로 410 1층,동대문구,용두동
파리바게뜨 화양시장,서울 광진구 군자로 70,광진구,군자동
파리바게뜨 봉화산역,"서울특별시 중랑구 신내로 211 금강리빙스텔 145호, 146호, 147호",중랑구,신내동
파리바게뜨 마장역,서울시 성동구 마장로 283,성동구,마장동
파리바게뜨 제기동역,서울특별시 동대문구 왕산로 118,동대문구,용두동
파리바게뜨 화양리,서울특별시 광진구 화양동 111-204,광진구,화양동
파리바게뜨 고대역,서울 동대문구 제기동 136-54,동대문구,제기동
파리바게뜨 성동세무서,서울 성동구 광나루로 319,성동구,송정동
파리바게뜨 한양대학교병원,서울시 성동구 사근동 110 동관 1층,성동구,사근동
파리바게뜨 구의파크,서울 광진구 광나루로 545,광진구,구의동
파리바게뜨 마장대로,서울시 성동구 마장동 474-25,성동구,마장동
파리바게뜨 월계,서울시 노원구 월계동 68-6,노원구,월계동
파리바게뜨 월곡동아,서울시 성북구 상월곡동 50-9,성북구,상월곡동
파리바게뜨 석계역,"서울시 노원구 마들로 31 상가동 107,108,148호",노원구,월계동
