상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
23324279,제중건강원,,D,소매,D10,건강/미용식품,D10A07,건강원,G47216,건강보조식품 소매업,11,서울특별시,11560,영등포구,1156053500,영등포동,1156010600,영등포동5가,1.16E+18,1,대지,41,1,서울특별시 영등포구 영등포동5가 41-1,1.16E+11,서울특별시 영등포구 영중로14길,11,17,1.16E+24,,서울특별시 영등포구 영중로14길 11-17,150035,7250,,1,,126.9071678,37.52061272
24525909,민속악기사,,D,소매,D04,취미/오락관련소매,D04A09,악기판매,G47593,악기 소매업,11,서울특별시,11200,성동구,1120079000,용답동,1120012200,용답동,1.12E+18,1,대지,142,11,서울특별시 성동구 용답동 142-11,1.12E+11,서울특별시 성동구 용답5길,2,,1.12E+24,,서울특별시 성동구 용답5길 2,133849,4803,,,,127.049018,37.56685653
24715368,태평양진주,,D,소매,D26,시계/귀금속소매,D26A01,시계/귀금속,G47830,시계 및 귀금속 소매업,11,서울특별시,11110,종로구,1111061500,종로1.2.3.4가동,1111015200,봉익동,1.11E+18,1,대지,43,1,서울특별시 종로구 봉익동 43-1,1.11E+11,서울특별시 종로구 서순라길,17,10,1.11E+24,금사랑투빌딩,서울특별시 종로구 서순라길 17-10,110390,3138,,,,126.9935297,37.57184782
15554136,김선희꼼꼼국어교습소,,R,학문/교육,R01,학원-보습교습입시,R01A01,학원-입시,P85501,일반 교과 학원,11,서울특별시,11710,송파구,1171056100,방이1동,1171011100,방이동,1.17E+18,1,대지,197,3,서울특별시 송파구 방이동 197-3,1.17E+11,서울특별시 송파구 위례성대로12길,31,,1.17E+24,,서울특별시 송파구 위례성대로12길 31,138834,5640,,2,,127.1215202,37.51096718
17174175,비지트,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,11,서울특별시,11650,서초구,1165062100,방배4동,1165010100,방배동,1.17E+18,1,대지,854,18,서울특별시 서초구 방배동 854-18,1.17E+11,서울특별시 서초구 동광로18길,82,,1.17E+24,상랑의빌딩,서울특별시 서초구 동광로18길 82,137837,6572,,1,,126.9913941,37.48837454
17174119,쓰리에프,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,11,서울특별시,11590,동작구,1159063000,사당2동,1159010700,사당동,1.16E+18,1,대지,139,72,서울특별시 동작구 사당동 139-72,1.16E+11,서울특별시 동작구 동작대로27가길,12,,1.16E+24,,서울특별시 동작구 동작대로27가길 12,156816,7008,,,,126.9809516,37.48710455
